"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC13A2",110.603421279975,-6.33309290656959,0.397720669400401,-15.9234693940279,4.35541698673032e-57,1.26452273181404e-54
"SLC31A2",64.2478650362215,-2.1605943505271,0.136279687623682,-15.8541187480066,1.31661525220975e-56,3.76284524658883e-54
"PAX2",68.5223649953477,-4.12856204146668,0.261227718634138,-15.8044562156474,2.89880786260657e-56,8.15724532537489e-54
"SEMG2",70612.2668710999,-9.50872386058742,0.603756265697871,-15.7492756610922,6.94724926583616e-56,1.92533539880923e-53
"CLU",28834.6112371265,-2.61394541911381,0.166731565228853,-15.6775678050281,2.1534339007785e-55,5.87887454912529e-53
"PIK3C2G",71.716590475877,-4.49245561728458,0.287303174453577,-15.6366375896431,4.09802674426134e-55,1.10230892910712e-52
"HS3ST5",18.5244268058509,-5.02647598038589,0.323444541471807,-15.5404569745198,1.8466196567231e-54,4.89514784653946e-52
"HOXB9",120.621800127433,-3.80323685406281,0.248049015333736,-15.3326021026359,4.63058930343477e-53,1.20997298498751e-50
"GNAO1",656.248614956938,-2.53865940794138,0.165679008714102,-15.3227583122622,5.38815744218046e-53,1.37560832176719e-50
"UNC5B",1720.40944261589,-2.23473194194363,0.145847034209908,-15.3224366477506,5.41489252458791e-53,1.37560832176719e-50
"GLIS3",456.787188614895,-2.18959123534066,0.143747963835049,-15.2321547862286,2.16342066231949e-52,5.42070237458709e-50
"LPL",803.1092585551,-3.73565519486575,0.245289738474136,-15.2295616526969,2.25095613818434e-52,5.56381604372024e-50
"HOXC6",691.501621862951,2.90803782000195,0.191091598185713,15.2180307643655,2.68491748635401e-52,6.54797676572017e-50
"UGT2B7",33.1398591231298,-5.64782296689076,0.371677134833065,-15.1955082451532,3.78714826289734e-52,9.11456958903359e-50
"LRFN1",440.479969395364,1.56116653149856,0.104198772343529,14.9825808537514,9.5437776912554e-51,2.26708100975003e-48
"SLMAP",5009.47893374139,-1.18309520856596,0.0790060035141883,-14.974750727057,1.07369647233966e-50,2.51781822763651e-48
"KCNJ15",203.991558936685,-3.30223782168911,0.221087625619161,-14.93633039136,1.91219295626736e-50,4.42733181811219e-48
"SEMG1",144023.808303194,-9.76366249551185,0.653960068506625,-14.9300591361916,2.10079715919644e-50,4.80321010485777e-48
"LPCAT2",906.339837154238,-1.8572834871335,0.125010632933648,-14.8570041087568,6.26655105543856e-50,1.41508006611144e-47
"RHOBTB2",1147.76710794391,-1.28370420896602,0.0868388163107322,-14.7826083254359,1.89676055226801e-49,4.23093259287001e-47
"PLLP",512.554147802744,-1.77951615934946,0.120408926124947,-14.7789388761999,2.002969426806e-49,4.4140137091215e-47
"ZIC2",212.903755675241,4.37210155842671,0.296790855900392,14.7312542536488,4.06098159501187e-49,8.84278742313835e-47
"AMACR",7986.87091350746,3.23308177838405,0.220184356614194,14.6835217001771,8.22075493831575e-49,1.76900974796157e-46
"PATE3",10.6717448378567,-7.06766434290863,0.482491234576567,-14.6482751113835,1.38179213148658e-48,2.93887905546756e-46
"TMEM171",7.61743829211477,-3.06117248952826,0.20938433540335,-14.6198734668061,2.09789854889286e-48,4.41065084572406e-46
"GPRC5B",1075.18982941307,-1.86305018312369,0.127445226557832,-14.6184383161521,2.14258729503685e-48,4.4534163878999e-46
"KCNQ1",1754.53143424769,-1.92894222324706,0.132607019967807,-14.5463054951038,6.16435099057155e-48,1.26687802211847e-45
"PYCR1",9426.84111075258,1.3535645875308,0.0935404916172767,14.4703599920016,1.86493541593664e-47,3.79017041032189e-45
"PRR36",1958.23300090091,1.76571316653312,0.122204767072211,14.4488075943041,2.55063340376291e-47,5.12677314156344e-45
"GRAMD1B",138.05585474501,-1.97216555144543,0.136991155621107,-14.3962983778317,5.45899802459658e-47,1.08533187899887e-44
"QPRT",367.866078685459,-2.43208469068094,0.169037486850137,-14.3878422236432,6.16907459455598e-47,1.21331767106477e-44
"PDK4",6688.78674130822,-3.05701375006356,0.212603997195665,-14.3789100411415,7.01912752838191e-47,1.35144064864877e-44
"CGREF1",1672.97739526,1.96212321703788,0.136456182153443,14.3791449099133,6.99534943807357e-47,1.35144064864877e-44
"ARHGEF40",1566.27527691203,-1.49099514056263,0.10435204224912,-14.2881261202648,2.59498386105621e-46,4.94425518776866e-44
"SLC19A1",2690.7553346661,1.4222777839675,0.0998921168180658,14.2381383964252,5.31234236048504e-46,1.001732516656e-43
"G0S2",355.061907483872,-2.30273268145101,0.161785608235505,-14.2332356169716,5.69830280459099e-46,1.06354751631402e-43
"SLC28A3",44.5867515028615,-4.48456927289615,0.315401370202763,-14.218610623071,7.02335167513084e-46,1.29761742919008e-43
"ST6GALNAC4",442.166604045909,-1.82192444654365,0.128779124491853,-14.1476691484956,1.93050495943117e-45,3.53108662129555e-43
"PON3",30.6072827714337,-3.37867280091425,0.239746944375299,-14.0926626185704,4.21369698613826e-45,7.63096352212426e-43
"CAMK2G",2695.42630500729,-0.982109560044747,0.0697346165357858,-14.0835299429912,4.79533850046549e-45,8.57144250419424e-43
"PJA1",1513.39107735577,-0.991903935893358,0.0704323715444943,-14.0830688239248,4.82673761922261e-45,8.57144250419424e-43
"QSOX2",1370.2554354859,0.898048042365879,0.0640290312083991,14.0256384552024,1.08630101590471e-44,1.9105319117224e-42
"SP6",297.704877467657,-2.07824586379102,0.148906362237614,-13.9567298036246,2.86270811531867e-44,4.98683753688512e-42
