"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UNC5B",3514.97557224238,1.66059018457082,0.110755702302621,14.993270324209,8.12519242606357e-51,9.24240638464731e-48
"CCND1",30758.8819435361,1.36771427610336,0.0913690627727244,14.9691179333368,1.16860893717397e-50,1.25109897979802e-47
"HDAC4",1041.43510784955,-1.05070468911992,0.0702523884640749,-14.9561418777559,1.4202453912374e-50,1.43602589558448e-47
"MPZL2",15708.3956468849,1.68949699646793,0.113125275906474,14.9347436541478,1.95825703091647e-50,1.87580410329894e-47
"ULBP2",251.610733526389,2.08433578384245,0.140734019283158,14.810461567567,1.25376420077255e-49,1.11714550631894e-46
"PLA2R1",2855.87067362191,-2.53580474631827,0.171238681198059,-14.8085977337405,1.28901404575262e-49,1.11714550631894e-46
"NOL4L",2643.02620379524,0.773103258107975,0.0523888638393053,14.7570151641263,2.77283677139669e-49,2.29389223815544e-46
"RNF24",3656.20164356774,0.996271961876808,0.06759043314708,14.7398369190633,3.57647349614276e-49,2.83007902738253e-46
"SRF",4561.84472576748,-1.2817632880037,0.0870471458266797,-14.7249318266659,4.45919125381402e-49,3.38155336747563e-46
"MLF1",786.76181228328,-1.12837929198225,0.0768484152273223,-14.6831823225558,8.26201207979943e-49,6.01474479409399e-46
"ETV5",5374.77129009038,1.31885536304935,0.0898739306773989,14.6745040871013,9.38995453319012e-49,6.57296817323309e-46
"PBX4",432.067717811681,-1.99133456530726,0.135878949987481,-14.6552101373371,1.24770027067709e-48,8.41042404678629e-46
"SPATS2",2829.03029510156,0.604901946858511,0.0414290239770005,14.6009219815153,2.77072809463585e-48,1.8009732615133e-45
"PLSCR4",1588.31232766059,-1.27457684331884,0.08736080532274,-14.5898018981181,3.26143302995423e-48,2.0468303843161e-45
"SERINC2",9989.2522587929,1.34968900017281,0.0929444106875052,14.5214649292972,8.85963995185021e-48,5.37484823745579e-45
"SRCIN1",1355.14642399657,2.04402375621329,0.140842001295112,14.5128849165553,1.00407239362868e-47,5.89487663356196e-45
"TNFRSF10C",765.154528507763,1.74413649596513,0.12021843400901,14.5080620151351,1.07721175677422e-47,6.1266418666534e-45
"ADK",3918.44226407353,0.844786515206449,0.0583862549699105,14.4689279290445,1.90416941457962e-47,1.0501782831924e-44
"CFD",966.117955967401,-2.12831093872085,0.147247929109706,-14.4539278181302,2.36788343819199e-47,1.26751407573806e-44
"UGT2B11",15.6189474749996,-3.1786115546783,0.220982025951252,-14.3840275741679,6.51879017980112e-47,3.38977089349658e-44
"ABR",6839.10706400006,1.08480055980381,0.0756507820621045,14.3395815645799,1.23799612979302e-46,6.25875821173136e-44
"ADORA1",2447.96727659318,1.92218501251449,0.134218494666561,14.3213125530112,1.6105244424159e-46,7.92203914918093e-44
"EDIL3",1105.99668921763,1.73850705872929,0.121463821854082,14.3129619354297,1.81610574482596e-46,8.69819067258748e-44
"PTCHD4",1177.72880429266,2.11195944005054,0.147944820045031,14.2753185911323,3.11859339404194e-46,1.45534358388624e-43
"EPS8",7817.87235520815,1.4234318114201,0.10001893112118,14.231623908233,5.8311781201613e-46,2.65318604467339e-43
"C8ORF88",75.9763743393092,-2.03451687576282,0.143239279559844,-14.2036240479192,8.69945953817308e-46,3.86171130718903e-43
"GALNT7",5915.54757127034,1.54164906860356,0.10869215991181,14.1836271342331,1.15708016050419e-45,5.01401402885151e-43
