"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYLK3",95.6595312070059,-4.06114682648293,0.147930348431141,-27.4531012030525,6.37988231168933e-166,3.1169082925398e-163
"COL5A3",2221.20542237554,3.56365851221299,0.130937898080341,27.2164023133043,4.1542672508276e-163,1.97753773106704e-160
"ARHGEF39",341.272741613053,2.72718539348385,0.10038430174764,27.1674489537202,1.57535797673225e-162,7.31163020950854e-160
"NPTX2",10883.6608579388,6.98714435424037,0.258083166894762,27.0732277440222,2.03536128142856e-161,9.21621516822469e-159
"GPC5",118.416775810514,-5.81864900447265,0.215004581171339,-27.0629070914342,2.6923480891673e-161,1.19008195893788e-158
"LILRB1",859.143467752231,2.93547066184765,0.109304871664695,26.8558081368279,7.21497868961482e-159,3.04422907665225e-156
"MTURN",3747.66753308996,-3.0724657844982,0.114654018170576,-26.7977157148314,3.43550939380585e-158,1.4173384865779e-155
"ELF5",365.05821907353,-7.90741820500965,0.295838942959563,-26.7287941401632,2.17866843709798e-157,8.79282163798346e-155
"KCNJ10",1086.8797144861,-6.17788900925633,0.231511346342367,-26.6850377178502,7.02128889629666e-157,2.77340911403718e-154
"HSPA2",3091.73569882459,-3.88783047717334,0.146004446038048,-26.6281649817718,3.20439445649845e-156,1.23936631426862e-153
"ENPP6",286.839943058498,-5.11067915755961,0.192368625940715,-26.5671136993756,1.62913134349972e-155,6.17241293715761e-153
"IRX2",246.375393556915,-5.04941519283157,0.190840614386573,-26.4588080952376,2.88936738389371e-154,1.07282210963974e-151
"SLC1A4",2048.1033372897,1.94833051250216,0.0738460653944615,26.383673958725,2.10944574202946e-153,7.53112696168787e-151
"CD70",3005.58502845585,6.1107050318616,0.232619476204638,26.2691032219759,4.32500522524593e-152,1.51497588691869e-149
"ENPP3",15523.8740012772,4.71997381065949,0.179873643250973,26.2404970809083,9.17560457399246e-152,3.15453886881796e-149
"CXCR4",11195.264129304,2.80171540425213,0.10699179719931,26.1862635976937,3.81015191464205e-151,1.28609945991508e-148
"HYKK",209.687875840491,-2.02808457114443,0.0775062717554709,-26.166715611647,6.36052758174237e-151,2.10862847419727e-148
"ARHGAP22",441.999543602773,2.77922494934476,0.106515651236065,26.0921744090481,4.47314151007384e-150,1.45691003744773e-147
"HK2",5400.54342102163,3.44837426030074,0.132169076607174,26.0906283740623,4.6575439581618e-150,1.49081557902196e-147
"DDN",256.050304280559,-6.33347207551053,0.243916594201315,-25.9657285567182,1.20806196799143e-148,3.80130007385777e-146
"PNCK",6700.37693624788,6.64095727506305,0.255853613585989,25.9560816123909,1.55244530308609e-148,4.80352450863222e-146
"DBT",2284.49232960467,-1.56891285905616,0.0607295257077247,-25.8344329347627,3.64025536652994e-147,1.10789083409227e-144
"AGAP2",400.984424489862,2.70769122259621,0.104904253516576,25.8110718281635,6.66056212477066e-147,1.99440864268334e-144
"SLC4A8",213.301174297248,-2.75809278988542,0.106904220643368,-25.7996622891662,8.94479721128856e-147,2.63587555916781e-144
"ODF3B",1444.21684426107,3.5664671680044,0.13839240547211,25.770685579442,1.89037811949952e-146,5.48357340445447e-144
"P2RX7",1058.93914915965,2.67043387766272,0.10370868291154,25.7493760666165,3.27571228333005e-146,9.35593823692651e-144
"ZNF395",18643.7953342048,2.63532906651851,0.102399945996361,25.7356489876679,4.6666267459931e-146,1.31266553847518e-143
"CFAP74",60.805858469463,3.9880242670917,0.15500096056922,25.7290293714711,5.53466573618183e-146,1.53359805063008e-143
"MYEOV",1453.86036208934,7.11329220897237,0.277390290695747,25.6436236146943,4.98045465608139e-145,1.35973736309046e-142
"MLKL",1373.39116784672,1.93495463584544,0.0756130231620014,25.5902297637246,1.95971777699747e-144,5.27277688839971e-142
"TMEM74B",346.455909631624,3.74798244242549,0.146740115651735,25.5416347859555,6.80101170521023e-144,1.80372546153183e-141
"HS6ST1",2815.67432559351,-2.1459359344796,0.0842954420355894,-25.4573187192445,5.85794208118537e-143,1.53172809489023e-140
"STAMBPL1",835.242841255645,2.46328919990613,0.0967771684894825,25.4532059405502,6.50552161679449e-143,1.67743067799708e-140
